pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
TOI-5704 b,1,,169.8248694,44.9890782,162.7089,64.37164,4590.0,89.637,0.2702,-0.2687
TOI-5803 b,1,,327.2487497,6.2781777,63.19043,-34.67876,5134.0,84.0126,0.4514,-0.4468
TOI-2498 b,1,34.62,95.4162204,11.2516477,199.53738,-1.38131,5905.0,275.265,4.204,-4.082
HD 18438 b,1,,46.5318358,79.41858,129.0842,18.19302,3860.0,224.146,9.017,-8.356
Kapteyn c,1,,77.9586613,-45.0430198,250.56446,-35.97592,3550.0,3.93305,0.00041,-0.00041
HIP 105854 b,1,,321.5962275,-37.8294782,5.44967,-46.01534,4780.0,78.6381,0.7437,-0.7437
Kepler-54 b,1,,294.7739245,43.0561976,76.34485,10.1981,3705.0,271.701,2.9175,-2.9175
Kepler-54 c,1,,294.7739245,43.0561976,76.34485,10.1981,3705.0,271.701,2.9175,-2.9175
Kepler-54 d,1,,294.7739245,43.0561976,76.34485,10.1981,4252.0,271.701,2.9175,-2.9175
OGLE-2013-BLG-0341L B b,1,1.66,268.031208,-29.8461111,359.94991,-1.68315,,911.0,70.0,-70.0
HD 98649 b,1,2665.30902,170.2147665,-23.2181063,277.3048,35.10611,,42.1727,0.0878,-0.0875
HD 208487 b,1,,329.3332489,-37.7641354,5.41027,-52.1276,6067.0,45.147,0.1593,-0.1582
HD 27442 b,1,,64.1205476,-59.3028771,270.20525,-42.56321,4846.0,18.2704,0.0545,-0.0545
HD 81040 b,1,2151.06266,140.9455027,20.3646078,209.36326,42.32614,,34.4341,0.0777,-0.0773
HD 89307 b,1,,154.5874958,12.6209392,227.30349,51.39451,5955.0,32.0104,0.0528,-0.0526
HD 87883 b,1,1719.13385,152.1794175,34.2419984,191.18698,54.54018,,18.2912,0.0125,-0.0124
HD 166724 b,1,,273.4988604,-42.5757218,350.82178,-11.64851,5127.0,45.1342,0.0903,-0.0899
HD 220689 b,1,,351.4707282,-20.6167923,46.7585,-69.41947,5921.0,46.8778,0.1048,-0.1044
KOI-984 c,1,209.8,291.0489438,36.8400772,69.40595,9.90063,5295.0,252.667,,
Kepler-1788 b,1,,291.2243829,45.7780993,77.68383,13.6788,4786.0,560.445,8.159,-7.933
Kepler-1775 b,1,,286.4023452,38.7385674,69.56634,14.0307,5818.0,657.023,6.088,-5.978
HIP 4845 b,1,,15.5881733,-10.4246208,132.20025,-73.09965,,21.0974,0.0178,-0.0178
Kepler-1854 b,1,,286.28593,37.3869915,68.2551,13.56848,5026.0,423.348,,
Kepler-865 c,1,,297.7242257,43.5272796,77.80764,8.5398,5440.0,586.137,7.904,-7.7
Kepler-880 c,1,,281.9712347,43.6727839,73.05327,18.95671,6900.0,601.324,8.299,-8.079001
Kepler-1518 c,1,,300.3323404,44.9861065,80.03172,7.66324,6432.0,903.51,12.124,-11.812
Kepler-616 d,1,,294.989137,46.8383058,79.83355,11.81086,6004.0,945.775,24.0505,-24.0505
Kepler-196 b,1,,284.9685077,42.0791214,72.31497,16.33606,5128.0,451.312,3.157,-3.115
Kepler-49 c,1,,292.2945208,40.5918123,73.2573,10.71393,3974.0,311.222,2.53,-2.49
Kepler-662 b,1,,290.4650801,47.9291252,79.48167,15.0438,4897.0,815.637,21.6475,-21.6475
Kepler-1930 b,1,,297.577145,40.0276768,74.6858,6.8997,5083.0,275.694,1.166,-1.156
TOI-2589 b,1,1112.39942,107.4881501,-37.230948,248.51284,-12.6327,5579.0,200.273,0.832,-0.826
TOI-1695 b,1,6.36,21.9217346,72.2966148,125.71643,9.62112,3690.0,45.1309,0.06805,-0.06805
TOI-3807 b,1,330.54154,139.1125648,69.0741284,144.33075,37.87064,5772.0,421.745,4.661,-4.561
TOI-2096 b,1,,151.6186989,74.8272107,135.57433,37.96972,3300.0,48.4809,0.0982,-0.0978
TOI-4329 b,1,143.02278,329.5639152,71.1316048,109.78506,12.8265,6000.0,717.128,10.722,-10.416
TOI-1452 b,1,4.82,290.1739741,73.1951082,104.66497,23.81292,3185.0,30.5212,0.0392,-0.039
TOI-1278 b,1,5879.82553,320.4784442,35.648625,82.10119,-10.11937,3799.0,75.5759,0.15495,-0.15495
KOI-984 b,1,,291.0489438,36.8400772,69.40595,9.90063,5295.0,252.667,,
Kepler-1130 c,1,,285.207421,45.384333,75.59135,17.39614,5450.0,249.343,1.802,-1.777
GJ 2056 b,1,,108.0194945,-24.8921008,237.4367,-6.85292,,28.4434,0.0234,-0.0233
Kepler-1938 b,1,,299.351892,41.1957285,76.38584,6.32746,4522.0,421.152,4.639,-4.54
Kepler-1801 c,1,,295.1640095,39.2014024,73.04331,8.11892,5738.0,839.332,15.956,-15.38
Kepler-1814 c,1,,285.2166767,41.2824449,71.62046,15.86299,4922.0,726.346,15.267,-14.661
Kepler-1181 c,1,,289.7473165,39.5234131,71.4054,11.99669,6688.0,938.417,11.9915,-11.9915
Kepler-1804 b,1,,301.3428675,44.672175,80.13824,6.888,5109.0,434.456,5.71,-5.567
K2-138 f,1,1.63,348.9490311,-10.8497391,64.21591,-62.23886,5356.3,202.585,2.028,-1.989
K2-132 b,1,155.7367,182.1662666,-8.7472172,285.33405,52.65691,4840.0,609.818,17.942,-16.962
TOI-1516 b,1,1004.33777,340.0846204,69.5037313,111.85157,9.50311,6520.0,247.054,1.368,-1.354
Kepler-62 e,1,36.0,283.2125621,45.3496992,75.0375,18.69539,4925.0,300.874,1.219,-1.219
TOI-1670 b,1,41.31769,259.0172522,72.1611806,103.42009,32.9746,6170.0,168.067,0.69,-0.684
TOI-1431 b,1,991.62463,316.2036922,55.5880221,94.60687,5.72303,7690.0,148.925,1.034,-1.02
TOI-1246 c,1,8.8,251.1158702,70.4299917,102.34143,35.90788,5151.0,169.422,0.673,-0.669
TIC 257060897 b,1,212.94503,227.5321527,72.7103128,110.0336,40.76171,,505.703,5.126,-5.025
Kepler-1823 b,1,,283.754777,45.335125,75.16183,18.33269,6000.0,724.971,8.524,-8.331
Kepler-381 d,1,,285.1828685,43.8310283,74.0723,16.8434,6197.0,267.323,1.708,-1.687
Kepler-1266 c,1,,285.8693277,42.7279996,73.20234,15.96593,4996.0,849.312,26.456,-24.93
HIP 48714 b,1,,149.0332672,62.7859505,149.22209,44.35805,,10.5298,0.0043,-0.0043
Kepler-1947 b,1,,296.1040313,42.3425818,76.17636,8.99929,6040.0,468.771,4.745,-4.652
GJ 687 c,1,,264.1041731,68.3336741,98.59611,31.96608,,4.54939,0.00068,-0.00068
Kepler-1874 b,1,,286.3718158,43.692081,74.27465,15.99548,4701.0,408.007,,
